No,カテゴリ名,カテゴリID,サブカテゴリ名,サブカテゴリID,記事タイトル,記事ID,記事内容,ラベル,キーワード,作成者名,更新者名
1,製品の仕様について,660d7429-3753-43a6-9df0-0a95d08cd72f,HEADPHONES,12f73a3e-d0cd-45a9-a8a7-81a21d055dee,"製品仕様：JBUDS WORK
WIRELESS OVER-EAR
HEADSET",f2d003d1-6557-4894-ae39-f2b135f37ecc,"<div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/9b525890-a383-45bc-b675-7f0a8ee1c052/2846a7ad-1063-478a-930d-1de490d352fd.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYBLUETOOTHGENERAL</strong></div><h2>INCLUDES/TECH SPECS</h2><div><strong>INCLUDES:</strong>JBuds Work Wireless Over-Ear Headset, Type-C Charging Cable, Type-C to 3.5mm AUX Cable for Wired Use, JLab Two Year Warranty.</div><ul>
  <li><strong>Driver:</strong>40mm Dynamic, Neodymium Magnet, 20-20kHz, 32 Ω</li>  <li><strong>Microphone:</strong>2x Condenser Microphones (-42 +/- 1 dB)</li>  <li><strong>Battery:</strong>600mAh lithium polymer</li>  <li><strong>Battery Life:</strong>60+ Hours</li>  <li><strong>Input Power:</strong>5V, 1000mA</li>  <li><strong>Charge Plug:</strong>Type-C</li>  <li><strong>Charge Time:</strong>3 Hours</li>  <li><strong>Standby:</strong>600 </li><",A,B,C,D
2,製品の仕様について,660d7429-3753-43a6-9df0-0a95d08cd72f,HEADPHONES,12f73a3e-d0cd-45a9-a8a7-81a21d055dee,"製品仕様：JBUDS WORK
WIRELESS OVER-EAR
HEADSET",f730efd8-54cc-4813-ae74-7564fe9dda53,"<div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/9b525890-a383-45bc-b675-7f0a8ee1c052/2846a7ad-1063-478a-930d-1de490d352fd.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYBLUETOOTHGENERAL</strong></div><h2>INCLUDES/TECH SPECS</h2><div><strong>INCLUDES:</strong>JBuds Work Wireless Over-Ear Headset, Type-C Charging Cable, Type-C to 3.5mm AUX Cable for Wired Use, JLab Two Year Warranty.</div><ul>
  <li><strong>Driver:</strong>40mm Dynamic, Neodymium Magnet, 20-20kHz, 32 Ω</li>  <li><strong>Microphone:</strong>2x Condenser Microphones (-42 +/- 1 dB)</li>  <li><strong>Battery:</strong>600mAh lithium polymer</li>  <li><strong>Battery Life:</strong>60+ Hours</li>  <li><strong>Input Power:</strong>5V, 1000mA</li>  <li><strong>Charge Plug:</strong>Type-C</li>  <li><strong>Charge Time:</strong>3 Hours</li>  <li><strong>Standby:</strong>600 </li><",1,2,,
3,製品の仕様について,660d7429-3753-43a6-9df0-0a95d08cd72f,ACCESSORIES,1bcb1cde-72c0-49df-b9fa-9e0b083ca1b6,"UNIVERSAL
GEL EARTIP SET",0af871fd-7ccb-4c2c-b9d8-1085b4dd7556,"<div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/71d89603-626f-450f-8133-697c100cdbd6/9b99bbfb-ad2b-4358-91fd-1cd8b3a610b6.png"" /></div></div><div data-component-type=""text""><div><strong>Lost your eartips for your favorite JLab earbuds? Need more variety of sizes? We've got you covered with this 8 eartip set. Universal fit to all JLab and other brand earbuds.</strong></div><div><strong>As shown/pictured:<br />
Top row: Large, Medium, Small, Extra Small<br />
Bottom row: Triple Flange, Medium Double Flange, Small Double Flange, Shallow (gray)</strong></div></div></div>",ww,ee,,
4,製品の仕様について,660d7429-3753-43a6-9df0-0a95d08cd72f,ACCESSORIES,1bcb1cde-72c0-49df-b9fa-9e0b083ca1b6,"UNIVERSAL
GEL EARTIP SET",e494bd4e-13c9-4835-9824-98465f56c7bf,"<div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/71d89603-626f-450f-8133-697c100cdbd6/9b99bbfb-ad2b-4358-91fd-1cd8b3a610b6.png"" /></div></div><div data-component-type=""text""><div><strong>Lost your eartips for your favorite JLab earbuds? Need more variety of sizes? We've got you covered with this 8 eartip set. Universal fit to all JLab and other brand earbuds.</strong></div><div><strong>As shown/pictured:<br />
Top row: Large, Medium, Small, Extra Small<br />
Bottom row: Triple Flange, Medium Double Flange, Small Double Flange, Shallow (gray)</strong></div></div></div>",,,,
5,製品の仕様について,660d7429-3753-43a6-9df0-0a95d08cd72f,EARBUDS,85f2097d-c823-4c56-be38-66ebc88345b9,"製品仕様：EPIC AIR ANC
TRUE WIRELESS EARBUDS",2f85f875-9af3-45ce-8893-f1b48e26cc82,"<div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/e46c3ad8-774f-4ac3-bcae-056921eec257/43ebc342-32e2-4af2-9edc-1a425ccaae37.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYCHARGINGBLUETOOTHGENERAL</strong></div><h2>INCLUDES/TECH SPECS</h2><div><strong>INCLUDES:</strong>Epic Air ANC True Wireless Earbuds, Charging Case with integrated USB Charging Cord, 3 Sets of Silicone Gel Tips, 2 Extra Long Tips, 1 set Cloud FoamEartips, JLab Two Year Warranty.</div><ul>
  <li><strong>Speaker:</strong>Φ8mm Dynamic, Neodymium Magnet, 20Hz-20kHz, 32Ω ± 15%</li>  <li><strong>Output:</strong>110±3db</li>  <li><strong>Microphone:</strong>3 left earbud MEMS, 3 right earbud MEMS, - 40dB±3dB</li>  <li><strong>Battery Life:</strong>12+ Hours in Earbuds, 36+ additional hours in charging case</li>  <li><strong>ANC Battery Life:</strong>Single Charge, 12+ AN</li>",,,,
6,製品の仕様について,660d7429-3753-43a6-9df0-0a95d08cd72f,EARBUDS,85f2097d-c823-4c56-be38-66ebc88345b9,"取扱説明書：JBUDS AIR SPORT
TRUE WIRELESS EARBUDS （コピー）",3269bc0b-b986-415e-a1a8-ac5e119d9d0b,"<div><div data-component-type=""text""><div><br />
<br />
<br />
<br />
</div><h3>FIRST TIME SET UP: BLUETOOTH PAIRING</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_BT_Set_Up.png?v=1620242764"" alt=""How to wirelessly connect your JBuds Air Sport"" /></div><h3>HOW TO CONTROL YOUR JBUDS AIR SPORT</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Controls.png?v=1620242763"" alt=""Controls for your JBuds Air Sport"" /></div><h3>HOW TO FIT YOUR JBUDS AIR SPORT</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Fitting.png?v=1620242763"" alt=""How to fit your JBuds Air Sport"" /></div><h3>TROUBLESHOOTING CONNECTION</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Troubleshoot.png?v=1620242763"" alt=""How to reconnect your JBuds Air Sport"" /></div></div><di",,,,
7,製品の仕様について,660d7429-3753-43a6-9df0-0a95d08cd72f,EARBUDS,85f2097d-c823-4c56-be38-66ebc88345b9,"取扱説明書：JBUDS AIR SPORT
TRUE WIRELESS EARBUDS （コピー）",48f01abd-70aa-4403-850a-2c711ccaa1cd,"<div><div data-component-type=""text""><div><br />
<br />
<br />
<br />
</div><h3>FIRST TIME SET UP: BLUETOOTH PAIRING</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_BT_Set_Up.png?v=1620242764"" alt=""How to wirelessly connect your JBuds Air Sport"" /></div><h3>HOW TO CONTROL YOUR JBUDS AIR SPORT</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Controls.png?v=1620242763"" alt=""Controls for your JBuds Air Sport"" /></div><h3>HOW TO FIT YOUR JBUDS AIR SPORT</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Fitting.png?v=1620242763"" alt=""How to fit your JBuds Air Sport"" /></div><h3>TROUBLESHOOTING CONNECTION</h3><div><img data-composite=""true"" src=""https://cdn.shopify.com/s/files/1/0240/9337/files/Support_JBuds_Air_Sport_v2_Troubleshoot.png?v=1620242763"" alt=""How to reconnect your JBuds Air Sport"" /></div></div><di",,,,
8,製品の仕様について,660d7429-3753-43a6-9df0-0a95d08cd72f,EARBUDS,85f2097d-c823-4c56-be38-66ebc88345b9,"会社概要 （コピー）",4c8042dd-a746-49b5-b3d6-a3aacedaa5d1,"<div><div data-component-type=""text""><div>2021.11.25　更新</div></div><div data-component-type=""text""><div>名称</div><div>株式会社Proz (Proz.)</div><div>住所</div><div>〒160-0023<br />
東京都新宿区西新宿1-5-12 ニューセントラルビル8F<br />
</div><div>代表取締役</div><div>網本信幸</div><div>設立</div><div>2020年5月</div></div></div>",チャット①,"会社,概要",,
9,製品の仕様について,660d7429-3753-43a6-9df0-0a95d08cd72f,EARBUDS,85f2097d-c823-4c56-be38-66ebc88345b9,"製品仕様：JBUDS AIR SPORT
TRUE WIRELESS EARBUDS",5d1a8128-db10-4759-be6b-15bfd024bdc0,"<div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/6dfa289b-84ba-4c34-bbc4-f1af1402e164/4c3a5bc7-c604-4bd8-a510-ee8a45695640.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYBLUETOOTHGENERAL</strong></div><h2>INCLUDES/TECH SPECS</h2><div><strong>INCLUDES:</strong>JBuds Air Sport True Wireless Earbuds, Charging Case with Integrated Charging Cable, 3 Sets Gel Tips, 1 Set Cloud FoamEartips, JLab Two Year Warranty.</div><ul>
  <li><strong>Speaker:</strong>Φ8mm Dynamic, Neodymium Magnet, 20Hz-20kHz, 32 Ω</li>  <li><strong>Output:</strong>103±3db</li>  <li><strong>Microphone:</strong>1 Knowles, 2 Silicon, -4.8dB±3 at 1KHz</li>  <li><strong>Battery Life:</strong>6.5+ hours in each earbud, 34+ hours in case</li>  <li><strong>Input Power:</strong>DC 5V, 50mA</li>  <li><strong>Earbud Battery:</strong>60mAh lithium polymer</li>  <li><strong>Ear</stro",,,,
10,製品の仕様について,660d7429-3753-43a6-9df0-0a95d08cd72f,EARBUDS,85f2097d-c823-4c56-be38-66ebc88345b9,"製品仕様：GO AIR POP
TRUE WIRELESS EARBUDS",86422d52-d460-45f5-94ca-473f1a5c814b,"<div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/909cd300-7c3d-4124-819e-48d575bbcd8e/d3adf445-fd49-41fb-a2d6-d3a99dedeffa/2021/11/29/0020fb24-2332-47c6-880f-36901b207068/485f5b40-f2e8-4883-b8b9-f19737e1a4c6.png"" /></div></div><div data-component-type=""text""><div><strong>AUDIOBATTERYBLUETOOTHGENERAL</strong></div><div><strong>INCLUDES:</strong>GO Air POP True Wireless Earbuds, Charging Case w/ Integrated USB Charging Cable, 3 Sets Gel Tips: Small, Medium, Large, JLab Two Year Warranty.</div><ul>
  <li><strong>Speaker:</strong>Φ6mm Dynamic driver</li>  <li><strong>Output:</strong>103+/-3dB</li>  <li><strong>Microphone:</strong>MEMS -42dB+/-3dB</li>  <li><strong>Frequency Response:</strong>20Hz-20kHz</li>  <li><strong>Impedance:</strong>16Ω</li>  <li><strong>Battery Life:</strong>8+ hours in each earbud</li>  <li><strong>Total Playtime:</strong>32+ hours total</li>  <li><strong>Standby:</strong>60+ hours</li>  <li><strong>Input Power:</strong>3</li>",,,,
