ID,タイトル,内容,閲覧数,カテゴリID,公開状態,作成者,作成日,最終更新日,最初の公開日,最終公開日
06871615-5c15-406b-ba34-bd613ce7467c,"Anker PowerCore Essential 20000の対応機種は？","<div data-component-type=""heading""><h2 id="""" level=""3"">以下の機種に対応しています。</h2></div><div data-component-type=""text""><div><strong>スマートフォン</strong><br />
- iPhone 11 / 11 Pro / 11 Pro Max / XS / XS Max / XR / X / 8 / 8 Plus<br />
- Galaxy S10 / S10+ / S9 / S9+<br />
- Google Pixel 3 / 3 XL<br />
- Nexus 6P / 7 他<br />
<br />
<strong>タブレット端末</strong><br />
- iPad Pro (2018, 11インチ) / iPad mini 5 他</div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1268011 (ブラック)</li>  <li>A1268021 (ホワイト)</li></ul></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 16:01:27","2021-05-22 16:08:16","2021-05-22 16:02:23","2021-05-22 16:08:16"
0d48a670-2d29-4d3e-be92-90e0528d3d3a,"Anker PowerCore 13000は何色カラーバリエーションがありますか？","<div data-component-type=""heading""><h2 id="""" level=""2"">ブラック、ホワイト、レッド、ブルーの4色です</h2></div><div data-component-type=""text""><div><br />
</div><div>ブラック</div><div><img data-composite=""true"" src=""https://dbcn1bdvswqbx.cloudfront.net/client_info/ANKERJAPAN/itemimage/A1215/A1215-BLACK-001.jpg"" /></div><div>ホワイト</div><div><img data-composite=""true"" src=""https://dbcn1bdvswqbx.cloudfront.net/client_info/ANKERJAPAN/itemimage/A1215/A1215-WHITE-008.jpg"" /></div><div>ブルー</div><div><img data-composite=""true"" src=""https://dbcn1bdvswqbx.cloudfront.net/client_info/ANKERJAPAN/itemimage/A1215/A1215-BLUE-008.jpg"" /></div><div>レッド</div><div><img data-composite=""true"" src=""https://dbcn1bdvswqbx.cloudfront.net/client_info/ANKERJAPAN/itemimage/A1215/A1215-RED-009.jpg"" /></div></div><div data-component-type=""text""><div><br /></div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1215011 (ブラック)</li>  <li>A1215021 (ホワイト)</li>  <li>A1215091 (レッド)</li>  <li>A1215031 (ブルー)</li></ul></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 15:13:28","2021-05-22 15:15:24","2021-05-22 15:15:24","2021-05-22 15:15:24"
28ee1282-49a9-4144-8f1d-719eb6d28463,"Anker PowerCore Essential 20000はフルスピード充電に対応していますか？","<div data-component-type=""heading""><h2 id="""" level=""3"">フルスピード充電に対応しています。</h2></div><div data-component-type=""text""><div>Anker独自技術PowerIQとVoltageBoostによりフルスピード充電が可能です (最大2A)</div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1268011 (ブラック)</li>  <li>A1268021 (ホワイト)</li></ul></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 16:07:39","2021-05-22 16:08:26","2021-05-22 16:08:26","2021-05-22 16:08:26"
3252b739-a92f-48cd-9798-a708cbaf6cf5,商工中金から融資を受けることができるのはどのような方ですか？,"<div data-component-type=""heading""><h2 id="""" level=""2"">商工中金の株主となって頂いている中小企業団体（商工中金株主団体）とその構成員の皆さまを主なご融資先としています。

※ご不明な点がございましたら、最寄りの商工中金の本・支店までお問い合わせください</h2></div><div data-component-type=""text""><div><img src=""https://d2x3xhvgiqkx42.cloudfront.net/8b4de52f-f9b8-46bd-8e5b-5f1b35623ce7/70b48832-e802-4fdc-a006-6aafb8bb9337/2021/09/15/41d2bff5-1f3c-49d7-b78e-82429ca2f192/ebace043-dc65-4066-b992-059e197f5fa2.png"" /></div></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-09-15 13:39:37","2021-09-15 13:40:20","2021-09-15 13:40:20","2021-09-15 13:40:20"
3497f425-c48b-4f37-9c4c-26d058c69d81,フルスピード充電とは？,"<div data-component-type=""text""><div>Anker独自技術PowerIQ (接続機器を検知し電流を最適化) とVoltageBoost (ケーブル抵抗を検知し出力電圧を自動調整) により、超高速充電を実現。最大3Aのフルスピード充電を可能にします (各ポート毎に最大2.4A) 。 2つのUSBポートを備え、2台同時充電も可能です。</div></div><div data-component-type=""table""><div class=""table-wrapper""><table><thead><tr><th><div>対象製品</div></th></tr></thead><tbody><tr><td><div>Anker PowerCore Essential 20000</div></td></tr><tr><td><div>Anker PowerCore 5000</div></td></tr><tr><td><div>Anker PowerCore 13000</div></td></tr></tbody></table></div></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 15:12:08","2021-05-22 15:12:49","2021-05-22 15:12:49","2021-05-22 15:12:49"
37a75575-6480-4ba8-8fa1-d3b4ea529356,"Anker PowerCore 5000は何色カラーバリエーションがありますか？","<div data-component-type=""heading""><h2 id="""" level=""2"">ブラック、ホワイト、レッド、ブルーの4色です</h2></div><div data-component-type=""text""><div>ブラック</div><div><img data-composite=""true"" src=""https://dbcn1bdvswqbx.cloudfront.net/client_info/ANKERJAPAN/itemimage/A1109/A1109-BLACK--001jpg.jpg"" /></div><div>ホワイト</div><div><img data-composite=""true"" src=""https://dbcn1bdvswqbx.cloudfront.net/client_info/ANKERJAPAN/itemimage/A1109/A1109-WHITE-021%202.jpg"" /></div><div>ブルー</div><div><img data-composite=""true"" src=""https://dbcn1bdvswqbx.cloudfront.net/client_info/ANKERJAPAN/itemimage/A1109/A1109-BLUE-008.jpg"" /></div><div>レッド</div><div><img data-composite=""true"" src=""https://dbcn1bdvswqbx.cloudfront.net/client_info/ANKERJAPAN/itemimage/A1109/A1109-RED-009.jpg"" /></div></div><div data-component-type=""text""><div><br /></div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1109011 (ブラック)</li>  <li>A1109021 (ホワイト)</li>  <li>A1109031 (ブルー)</li>  <li>A1109091 (レッド)<br />
</li></ul></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 15:27:38","2021-05-22 15:29:16","2021-05-22 15:29:16","2021-05-22 15:29:16"
467dc280-3de8-435a-ac10-a0fbb16baa9c,WEB会員とすでに持っている現金ポイントカード・サンドラッグクレジットポイントカードを一緒にする場合について,"<div data-component-type=""text""><div>共通化することで可能でございます。<br />
＜共通化の設定方法＞<br />
サンドラッグアプリにて『会員証』をタッチしていただきますと、バーコードが表示されます。<br />
下部の『登録情報変更』選んでいただき、現金ポイントカード番号と、電話番号または生年月日を入力し最下段の「共通化する」をタッチしていただくとカードの共通化が行えます。<br />
※画像が見づらい場合は<a data-composite=""true"" href=""https://supportbot-admin.userlocal.jp/uploads/image_file/file_name/2896/d40cc23b-219a-4834-a961-4ebdf8fdcbf5.png"" target=""_blank"">こちら</a>をご参照ください</div></div><div data-component-type=""text""><div><img data-composite=""true"" src=""https://d2x3xhvgiqkx42.cloudfront.net/8b4de52f-f9b8-46bd-8e5b-5f1b35623ce7/70b48832-e802-4fdc-a006-6aafb8bb9337/2021/10/20/c991a782-f62c-4c09-80fd-a0a73d828eef/81ace587-c6c5-45b8-b764-7f98f12b2cb2.png"" /></div></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-10-20 15:30:48","2021-10-20 15:31:46","2021-10-20 15:31:46","2021-10-20 15:31:46"
4769a0d4-939c-4661-8e71-da401d9bbafe,"Anker PowerCore Essential 20000は何台同時に充電できますか？","<div data-component-type=""heading""><h2 id="""" level=""3"">2つのUSB出力ポート搭載で、2台同時に充電できます。（合計最大出力15W）</h2></div><div data-component-type=""text""><div>製品型番</div><ul>
  <li>A1268011 (ブラック)</li>  <li>A1268021 (ホワイト)</li></ul></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 16:02:42","2021-05-22 16:04:17","2021-05-22 16:04:17","2021-05-22 16:04:17"
574f0ac4-4bd1-4a08-b029-2d43b30000d3,スマートフォンとの接続（ペアリング）ができない,"<div data-component-type=""text""><div>ブルートゥース端末とイヤホン（本製品）とのペアリングについては、付属の説明書「③ペアリング」をご確認いただくか、下記の動画をご覧の上お試しください。</div><div><br />
※各製品の取扱説明書をご覧になりたい場合はこちらから (<a href=""https://aviot.jp/manual#TE-D01q"" target=""_blank"">https://aviot.jp/manual</a>）</div></div><div data-component-type=""heading""><h2 id="""" level=""3"">初回・リセット後のペアリング方法</h2></div><div data-component-type=""video""><div style=""text-align:center""><span class=""video-overlay"" style=""width:650px; height:375px"">
  </span><iframe src=""https://youtu.be/Umv56Xk6cow"" style=""width:650px;height:375px;""></iframe></div></div><div data-component-type=""heading""><h2 id="""" level=""3"">別の端末へのペアリング方法</h2></div><div data-component-type=""video""><div style=""text-align:center""><span class=""video-overlay"" style=""width:650px; height:375px"">
  </span><iframe src=""https://youtu.be/eO5QSHn3I98"" style=""width:650px;height:375px;""></iframe></div></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-09-08 13:24:57","2021-09-08 13:26:26","2021-09-08 13:26:26","2021-09-08 13:26:26"
59e57c40-3dcf-46df-8dac-a00a1370357d,"Anker PowerCore 5000はフルスピード充電に対応していますか？","<div data-component-type=""heading""><h2 id="""" level=""3"">フルスピード充電に対応しています。</h2></div><div data-component-type=""text""><div>Anker独自技術PowerIQとVoltageBoostによりフルスピード充電が可能です (最大2A)</div></div><div data-component-type=""text""><div><strong>製品型番</strong></div><ul>
  <li>A1109011 (ブラック)</li>  <li>A1109021 (ホワイト)</li>  <li>A1109031 (ブルー)</li>  <li>A1109091 (レッド)</li></ul></div>",,72fb9dee-8476-4e66-a17b-f1bed73a3db7,公開済み,70b48832-e802-4fdc-a006-6aafb8bb9337,"2021-05-22 15:37:03","2021-05-23 11:20:44","2021-05-22 15:38:01","2021-05-23 11:20:44"
