№,メインカテゴリ,タイトル,内容,内部メモ,ラベル
1,本人確認,郵送による標準上限金額適用の申込から手続完了までの期間はどのくらいですか。,"申込書の到着後、原則7営業日以内に、「本人認証完了のお知らせ」の簡易書留をみずほ銀行からお送りします。
「本人認証完了のお知らせ」をお受け取りいただいたことを確認後、
原則2営業日後に本人認証の手続きが完了します。
本人認証完了後、アプリ内のお知らせにて手続き完了の旨を通知いたします。",,
4,本人確認,アプリ内メニューの「限度額引き上げ」がグレーになっていてタップできません。なぜですか。,"【J-Coin Payユーザーの場合】
既に標準上限金額が適用されている場合は、「限度額引き上げ」の項目がグレーになっております。

【J-Coin Liteユーザーの場合】
口座未登録の場合は「限度額引き上げ」の項目がグレーになっております。",,
5,本人確認,運転免許証もしくはマイナンバーカードを持っていない場合、スマートフォンから本人確認できますか。,"スマートフォンからの本人確認には、必ず運転免許証もしくはマイナンバーカードが必要となります。
お持ちでない場合は、お手数ですが郵送でのお手続きをお願いいたします。
お申込方法はこちらをご確認ください。",,
6,本人確認,"スマートフォンから本人確認を行う際に、本人確認書類と顔の撮影を行いますが、
情報の取扱に問題はないでしょうか。","撮影してアップロードいただく書類と顔写真は、利用目的以外には使用いたしません。
また、一定期間経過後にデータは削除し、みずほ銀行ででデータは保管いたしません。",,
7,本人確認,本人確認書類の名字が旧姓なのですが、本人確認の申込は可能ですか。,"本人確認書類の名字が旧姓の場合は本人確認が行えません。
本人確認書類の改姓手続きをお願いいたします。",,
8,本人確認,スマートフォンから本人確認を行っていますが、顔の撮影がうまくできません。,"次の内容をお試しください。

・メガネやマスクは外してください
・スマートフォンを顔と並行になるようお持ちください
・ガイドラインに顔の位置を合わせ、スマートフォンを動かさずお待ちください
・少し強めにまばたきをしてください。
・明るい場所でお試しください
・通信状態の良いところでお試しください
　(Wi-Fiの接続有無などを変えてお試しください)
・「サーバー処理中です」の表示や、読み込み中のマークが出ている間は、スマートフォンを動かさずにお待ちください

撮影がうまくいかない場合は、郵送にてお申込をお願いします。
お申込方法はこちらをご確認ください。",,
9,本人確認,スマートフォンから本人確認を行っていますが、本人確認書類の表面、厚み、裏面の撮影ができません。,"次の内容をお試しください。

・本人確認書類を平らなものの上において撮影してください。
・背景の色が白や薄い色の場合はうまく撮影できないことがあるため、
　黒に近い色を背景にして本人確認書類の撮影をしてください。
・本人確認書類をガイド枠に合わせ、撮影が開始されるまではスマートフォンを動かさずにお待ちください。
・通信状態の良いところで再度お試しください。
　(Wi-Fiの接続有無などを変えてお試しください。)
・本人確認書類に光が反射している場合、うまく撮影できないことがあります。
・「サーバー処理中です」の表示や、読み込み中のマークが出ている間は、スマートフォンを動かさずにお待ちください。

撮影がうまくいかない場合は、郵送にてお申込をお願いします。
お申込方法はこちらをご確認ください。",,
10,本人確認,"スマートフォンから本人確認を行っていますが、「お使いの端末ではご利用いただけません」と
メッセージが表示されます。","端末にカメラ（表、裏）が存在しない、カメラ解像度が利用可能サイズより小さい等の理由により、
ご利用の端末ではお申込いただけません。お手数ですが、郵送にてお申込をお願いします。
お申込方法はこちらをご確認ください。",,
11,本人確認,"スマートフォンから本人確認を行っていますが、
「お使いのOSではご利用いただけません。最新バージョンにあげてご利用ください。」とメッセージが表示されます。","スマートフォンから本人確認を行う際の推奨環境は以下となります。
ご確認いただき、最新バージョンへのアップデートや対応ブラウザへの変更をお試しください。
アップデートやブラウザの変更ができない場合は、郵送にてお申込をお願いします。

【OSバージョン】
iOS 13以上となります。  Android OS 8以上となります。
【ブラウザ】
Safari 13.0以降となります。Google Chrome 88以降となります。
※一部端末によってご利用できない場合がございます。
",,
12,本人確認,スマートフォンによる本人確認の申込回数に上限はありますか。,申込回数に上限はございません。,,
